Product_ID,Product_Name,Category,Unit_Cost_USD,Year,Month,Demand_Units,Warehouse_ID,Supplier_ID,Stock_Units,Reorder_Point_Units,Inventory_Lead_Time_Days,Inventory_Value_USD,Supplier_Name,Supplier_Lead_Time_Days,Reliability_Score,Holding_Cost_Per_Unit_USD,Warehouse_Location,Warehouse_Capacity_Units
P1266, Product267,gears,262.68,2022,2,447,W7,S110,661,335,16,24919.39,Supplier_11,7,0.9,1.22, Dallas,68292
P1252,Product253 ,bolts,333.38,2022,11,81,W2,S110,33,436,5,25634.91,Supplier_11,7,0.9,1.04, Dallas,37687
P2821, Product1822,battery packs,322.31,2023,11,111,W2,S109,556,152,9,33146.96,Supplier_10,9,0.83,0.28, Dallas,37687
P1305, Product306,ENGINE PARTS,380.3,2023,8,53,W1,S186,794,224,29,21453.49,Supplier_87,5,0.82,0.19, Phoenix,69569
P1286,Product287 ,BATTERY PACKS,225.01,2023,7,288,W7,S138,898,411,17,1290.2,Supplier_39,24,0.91,0.93, Dallas,68292
P3072,Product2073 ,BATTERY PACKS,381.56,2022,4,474,W2,S100,981,298,6,28316.66,Supplier_1,18,0.93,0.22, Dallas,37687
P2183,Product1184 ,brake pads,18.53,2022,3,388,W7,S177,491,285,15,2181.2,Supplier_78,22,0.99,0.43, Dallas,68292
P2588, Product1589,bolts,464.95,2023,12,173,W8,S147,78,425,25,42259.01,Supplier_48,11,0.87,0.69, Houston,20877
P2599,Product1600 ,GEARS,28.44,2023,9,289,W3,S141,966,486,25,7540.44,Supplier_42,11,0.92,0.83,Philadelphia ,48714
P1273,Product274 ,BOLTS,76.6,2023,7,178,W6,S177,566,131,9,30108.17,Supplier_78,22,0.99,0.31,Los Angeles ,44647
P1149,Product150 ,brake pads,482.24,2023,11,174,W7,S183,918,224,8,31815.29,Supplier_84,15,0.82,0.48, Dallas,68292
P2000,Product1001 ,battery packs,314.55,2023,8,332,W8,S130,103,203,8,45785.22,Supplier_31,7,0.84,0.62, Houston,20877
P3240, Product2241,BATTERY PACKS,186.97,2023,5,102,W8,S115,604,263,7,5537.98,Supplier_16,19,0.94,0.21, Houston,20877
P3413, Product2414,BOLTS,361.63,2022,7,354,W6,S171,485,159,23,10738.59,Supplier_72,27,0.81,0.53,Los Angeles ,44647
P2861, Product1862,BOLTS,246.91,2022,7,1880,W9,S159,304,151,20,13059.31,Supplier_60,13,0.96,0.96,San Diego ,47212
P2906,Product1907 ,BOLTS,221.78,2023,5,220,W3,S199,860,370,24,23675.36,Supplier_100,29,0.8,0.13,Philadelphia ,48714
P2415,Product1416 ,GEARS,306.22,2022,3,310,W9,S137,283,375,13,31874.71,Supplier_38,14,0.96,1.42,San Diego ,47212
P2477,Product1478 ,BOLTS,94.03,2022,11,152,W9,S171,215,334,13,5323.8,Supplier_72,27,0.81,0.95,San Diego ,47212
P2999,Product2000 ,BATTERY PACKS,362.38,2023,4,314,W2,S115,250,275,13,26370.72,Supplier_16,19,0.94,0.51, Dallas,37687
P2451,Product1452 ,battery packs,16.65,2022,12,97,W5,S105,699,388,23,10399.69,Supplier_6,14,0.9,0.59, New York,43441
P3412, Product2413,gears,71.33,2022,6,214,W4,S125,595,79,9,26423.64,Supplier_26,22,0.98,0.13, Chicago,78107
P1311, Product312,ENGINE PARTS,319.7,2023,4,286,W10,S178,347,449,20,6904.17,Supplier_79,11,0.94,0.39, Chicago,56222
P2094, Product1095,gears,26.26,2023,1,329,W10,S143,344,436,28,22722.45,Supplier_44,18,0.84,0.78, Chicago,56222
P3201,Product2202 ,ENGINE PARTS,240.37,2023,3,1080,W5,S137,962,351,26,40097.94,Supplier_38,14,0.96,1.3, New York,43441
P2466, Product1467,battery packs,16.71,2022,7,166,W1,S145,661,330,29,16202.54,Supplier_46,27,0.83,1.15, Phoenix,69569
P1059,Product60 ,battery packs,65.84,2023,3,78,W6,S106,881,183,10,15036.22,Supplier_7,29,0.94,1.13,Los Angeles ,44647
P3327,Product2328 ,gears,233.1,2023,11,442,W5,S186,663,383,20,28921.71,Supplier_87,5,0.82,0.56, New York,43441
P3240, Product2241,BATTERY PACKS,186.97,2022,1,404,W8,S115,604,263,7,5537.98,Supplier_16,19,0.94,0.21, Houston,20877
P1514,Product515 ,brake pads,11.67,2022,12,203,W3,S160,47,355,19,32733.33,Supplier_61,22,0.83,0.25,Philadelphia ,48714
P2368,Product1369 ,BATTERY PACKS,150.34,2022,5,341,W6,S107,418,364,21,20081.29,Supplier_8,16,0.88,1.13,Los Angeles ,44647
P1518, Product519,gears,293.08,2023,4,131,W5,S101,905,191,21,8862.03,Supplier_2,12,0.83,0.14, New York,43441
P3325,Product2326 ,BOLTS,480.99,2022,10,309,W2,S195,612,202,28,21285.59,Supplier_96,13,0.93,1.06, Dallas,37687
P1087, Product88,ENGINE PARTS,140.84,2022,4,185,W3,S132,614,411,23,44029.49,Supplier_33,9,0.98,0.3,Philadelphia ,48714
P1596,Product597 ,ENGINE PARTS,136.95,2023,1,329,W5,S175,688,309,18,44484.53,Supplier_76,13,1,1.21, New York,43441
P1582,Product583 ,BRAKE PADS,163.9,2022,11,121,W9,S142,570,108,7,6826.27,Supplier_43,8,0.85,0.25,San Diego ,47212
P1600,Product601 ,bolts,350.23,2023,1,252,W5,S151,431,454,23,29173.77,Supplier_52,19,0.91,1, New York,43441
P2027, Product1028,ENGINE PARTS,413.6,2023,10,228,W3,S129,470,175,11,17462.83,Supplier_30,6,0.84,0.57,Philadelphia ,48714
P1399,Product400 ,GEARS,311.15,2022,3,301,W8,S156,582,230,9,49039.6,Supplier_57,27,0.92,1.49, Houston,20877
P1640, Product641,ENGINE PARTS,348.33,2023,7,102,W9,S117,681,458,5,34930.94,Supplier_18,22,0.88,1.21,San Diego ,47212
P3237, Product2238,ENGINE PARTS,24.83,2023,6,58,W10,S143,129,382,15,27380.79,Supplier_44,18,0.84,0.92, Chicago,56222
P2670,Product1671 ,brake pads,318.13,2023,1,393,W6,S161,321,237,28,48276.77,Supplier_62,12,0.92,0.96,Los Angeles ,44647
P3815, Product2816,gears,296.91,2022,12,1850,W6,S127,165,310,6,30643.18,Supplier_28,5,0.86,0.64,Los Angeles ,44647
P2970,Product1971 ,BRAKE PADS,108.21,2022,7,84,W1,S165,809,176,7,39985.16,Supplier_66,21,0.95,1.2, Phoenix,69569
P2685, Product1686,GEARS,458.89,2023,1,78,W10,S102,281,274,29,3692.9,Supplier_3,28,0.9,1.48, Chicago,56222
P1516, Product517,engine parts,379.24,2023,12,482,W4,S129,67,89,19,4362.89,Supplier_30,6,0.84,1.01, Chicago,78107
P1607,Product608 ,BATTERY PACKS,67.37,2023,10,370,W6,S161,912,254,26,44731.47,Supplier_62,12,0.92,1.02,Los Angeles ,44647
P2070, Product1071,BOLTS,360.47,2022,11,186,W6,S106,683,146,25,33221.63,Supplier_7,29,0.94,1.24,Los Angeles ,44647
P2186,Product1187 ,BATTERY PACKS,90.82,2023,4,490,W8,S105,941,463,12,28108.4,Supplier_6,14,0.9,1.36, Houston,20877
P1597, Product598,battery packs,474.38,2022,2,455,W8,S167,590,279,8,5438.54,Supplier_68,5,0.82,0.81, Houston,20877
P1994, Product995,bolts,431.29,2022,4,196,W4,S184,661,243,11,5814.29,Supplier_85,15,0.8,0.25, Chicago,78107
P1862, Product863,battery packs,200.01,2023,4,144,W6,S104,526,401,23,23485.69,Supplier_5,15,0.82,0.17,Los Angeles ,44647
P2625, Product1626,BOLTS,369.08,2022,8,489,W10,S185,473,384,20,7662.25,Supplier_86,21,0.8,1.46, Chicago,56222
P2166,Product1167 ,engine parts,444.5,2023,4,418,W7,S138,408,284,16,39797.37,Supplier_39,24,0.91,0.15, Dallas,68292
P2259, Product1260,BRAKE PADS,93.79,2022,10,276,W9,S163,495,54,18,3686.99,Supplier_64,6,0.9,1.12,San Diego ,47212
P3504, Product2505,engine parts,150.48,2023,7,230,W8,S135,848,466,25,33732.47,Supplier_36,15,0.98,1.34, Houston,20877
P3573, Product2574,ENGINE PARTS,251.42,2023,6,465,W6,S127,207,487,20,28918.79,Supplier_28,5,0.86,0.8,Los Angeles ,44647
P1399,Product400 ,GEARS,311.15,2023,11,105,W2,S147,37,50,15,47463.4,Supplier_48,11,0.87,1.37, Dallas,37687
P3164, Product2165,battery packs,380.3,2022,5,159,W7,S195,239,136,5,32171.73,Supplier_96,13,0.93,0.34, Dallas,68292
P1811,Product812 ,brake pads,193.52,2023,12,492,W7,S144,421,303,24,2772.03,Supplier_45,14,0.89,1.17, Dallas,68292
P3703, Product2704,engine parts,494.54,2022,9,434,W6,S139,504,439,24,19432.31,Supplier_40,29,0.91,0.88,Los Angeles ,44647
P2764, Product1765,ENGINE PARTS,251.43,2023,11,347,W5,S105,982,354,13,44975.41,Supplier_6,14,0.9,1.44, New York,43441
P3397, Product2398,GEARS,196.94,2022,2,248,W5,S106,803,227,9,35718.67,Supplier_7,29,0.94,1.24, New York,43441
P1711,Product712 ,battery packs,498.01,2022,8,166,W10,S151,132,297,16,20587.71,Supplier_52,19,0.91,1.04, Chicago,56222
P1048,Product49 ,engine parts,451.73,2022,8,79,W8,S176,37,159,29,23345.06,Supplier_77,25,0.81,0.32, Houston,20877
P1840, Product841,bolts,127.49,2022,8,65,W7,S199,661,316,7,25476.04,Supplier_100,29,0.8,1.05, Dallas,68292
P3986,Product2987 ,GEARS,339.12,2023,10,59,W3,S166,934,215,14,18877,Supplier_67,6,0.88,0.98,Philadelphia ,48714
P1676, Product677,BATTERY PACKS,233.17,2023,9,418,W10,S198,524,202,18,1155.31,Supplier_99,27,0.99,0.14, Chicago,56222
P2367, Product1368,GEARS,355.04,2023,6,285,W9,S184,737,498,16,29545.59,Supplier_85,15,0.8,0.17,San Diego ,47212
P1938,Product939 ,BRAKE PADS,422.86,2022,6,333,W8,S147,436,328,15,12728.06,Supplier_48,11,0.87,0.8, Houston,20877
P3562,Product2563 ,engine parts,10.57,2022,2,324,W6,S112,279,397,14,34313.85,Supplier_13,27,0.88,0.35,Los Angeles ,44647
P2868,Product1869 ,BOLTS,260.05,2022,6,168,W9,S103,646,285,26,46497.61,Supplier_4,14,0.9,0.35,San Diego ,47212
P2898,Product1899 ,ENGINE PARTS,168.1,2022,4,331,W5,S146,274,152,5,30663.54,Supplier_47,20,0.9,0.35, New York,43441
P3993,Product2994 ,engine parts,423.35,2023,3,275,W3,S103,490,61,28,22040.2,Supplier_4,14,0.9,1.31,Philadelphia ,48714
P1309, Product310,battery packs,488.27,2022,7,64,W9,S191,36,472,12,35799.7,Supplier_92,17,0.92,0.32,San Diego ,47212
P2501,Product1502 ,GEARS,475.2,2022,12,65,W6,S190,594,323,25,38127.28,Supplier_91,22,0.98,0.29,Los Angeles ,44647
P1512,Product513 ,BATTERY PACKS,437.21,2022,12,418,W9,S121,372,341,14,47805.16,Supplier_22,11,0.88,0.41,San Diego ,47212
P3884,Product2885 ,BRAKE PADS,169.56,2023,2,106,W1,S149,299,239,12,30401.22,Supplier_50,17,0.89,0.35, Phoenix,69569
P1044,Product45 ,bolts,382.9,2023,5,319,W1,S154,703,221,15,29777.56,Supplier_55,26,0.9,1.44, Phoenix,69569
P3733,Product2734 ,brake pads,231.14,2023,12,238,W7,S105,265,494,21,15037.43,Supplier_6,14,0.9,0.55, Dallas,68292
P2474,Product1475 ,GEARS,405.37,2023,3,256,W4,S184,836,267,21,32055.36,Supplier_85,15,0.8,0.7, Chicago,78107
P2901,Product1902 ,BRAKE PADS,475,2023,3,128,W2,S105,206,203,10,45806.49,Supplier_6,14,0.9,1.44, Dallas,37687
P1723, Product724,ENGINE PARTS,53.64,2023,8,432,W5,S157,694,101,9,45000.63,Supplier_58,18,1,0.68, New York,43441
P1185,Product186 ,BOLTS,313.66,2022,4,206,W6,S161,406,471,15,46341.41,Supplier_62,12,0.92,0.67,Los Angeles ,44647
P3263,Product2264 ,BATTERY PACKS,48.52,2022,6,75,W1,S177,7390,370,18,33047.57,Supplier_78,22,0.99,1.4, Phoenix,69569
P2622,Product1623 ,GEARS,183.45,2023,12,98,W6,S115,963,275,5,23463.34,Supplier_16,19,0.94,0.86,Los Angeles ,44647
P3787, Product2788,BRAKE PADS,161.54,2023,10,297,W1,S184,318,257,15,41111.96,Supplier_85,15,0.8,1.13, Phoenix,69569
P3164, Product2165,battery packs,380.3,2023,12,328,W7,S195,239,136,5,32171.73,Supplier_96,13,0.93,0.34, Dallas,68292
P2075, Product1076,BATTERY PACKS,453.78,2022,3,485,W4,S177,507,214,12,5272.1,Supplier_78,22,0.99,0.86, Chicago,78107
P2259, Product1260,BRAKE PADS,93.79,2022,10,246,W4,S167,692,60,13,22488.74,Supplier_68,5,0.82,0.54, Chicago,78107
P2253,Product1254 ,ENGINE PARTS,140.85,2022,7,362,W4,S162,72,128,21,21673.05,Supplier_63,24,0.85,0.84, Chicago,78107
P3881,Product2882 ,battery packs,239.61,2023,8,61,W10,S139,882,261,24,47761.68,Supplier_40,29,0.91,0.27, Chicago,56222
P3888,Product2889 ,battery packs,168.66,2023,11,386,W10,S129,460,51,18,3318.05,Supplier_30,6,0.84,0.18, Chicago,56222
P3549,Product2550 ,gears,32.33,2022,2,407,W5,S158,620,316,21,25998.25,Supplier_59,14,0.87,0.88, New York,43441
P3413, Product2414,BOLTS,361.63,2022,11,200,W3,S129,314,276,21,16419.2,Supplier_30,6,0.84,0.51,Philadelphia ,48714
P3883, Product2884,GEARS,406.25,2023,2,490,W5,S117,541,393,20,11509.73,Supplier_18,22,0.88,0.95, New York,43441
P2819,Product1820 ,BOLTS,365.46,2023,6,342,W8,S104,500,404,11,3939.57,Supplier_5,15,0.82,0.16, Houston,20877
P1806,Product807 ,brake pads,36.33,2023,1,268,W8,S116,40,457,5,9048.61,Supplier_17,29,0.8,0.77, Houston,20877
P2896, Product1897,battery packs,53.42,2023,7,61,W2,S180,613,322,7,26167.97,Supplier_81,8,0.88,0.74, Dallas,37687
P2186,Product1187 ,BATTERY PACKS,90.82,2023,1,139,W8,S105,941,463,12,28108.4,Supplier_6,14,0.9,1.36, Houston,20877
P3393, Product2394,gears,53.44,2022,9,69,W7,S146,580,451,16,48770.74,Supplier_47,20,0.9,0.59, Dallas,68292
P3540,Product2541 ,battery packs,392,2023,1,301,W10,S106,475,240,21,15282.58,Supplier_7,29,0.94,1.21, Chicago,56222
P1914,Product915 ,brake pads,417.31,2022,1,99,W4,S194,488,220,6,36835.81,Supplier_95,15,0.87,0.25, Chicago,78107
P3369, Product2370,gears,403.23,2022,1,345,W8,S175,697,58,27,48044.55,Supplier_76,13,1,1.37, Houston,20877
P1295, Product296,battery packs,245.9,2023,6,456,W4,S127,939,306,27,31919.67,Supplier_28,5,0.86,0.41, Chicago,78107
P2076,Product1077 ,BOLTS,133.43,2022,9,123,W1,S197,227,71,29,3729.2,Supplier_98,11,0.85,0.59, Phoenix,69569
P1607,Product608 ,BATTERY PACKS,67.37,2023,2,415,W3,S198,115,227,13,21216.77,Supplier_99,27,0.99,1.01,Philadelphia ,48714
P3856,Product2857 ,battery packs,384.25,2022,4,120,W3,S168,524,384,10,16166.28,Supplier_69,12,0.84,0.99,Philadelphia ,48714
P3258,Product2259 ,ENGINE PARTS,72.13,2022,10,474,W2,S100,20,59,29,38610.16,Supplier_1,18,0.93,0.9, Dallas,37687
P1257, Product258,BRAKE PADS,359.68,2023,6,385,W4,S177,359,58,11,11901.45,Supplier_78,22,0.99,0.75, Chicago,78107
P2131,Product1132 ,BOLTS,133.23,2022,9,116,W5,S140,746,388,9,19697.14,Supplier_41,20,0.97,0.12, New York,43441
P2894, Product1895,gears,426.77,2023,11,200,W7,S136,536,212,25,45289.79,Supplier_37,23,0.94,0.37, Dallas,68292
P1903, Product904,gears,499.32,2023,12,101,W10,S178,770,117,5,3511.33,Supplier_79,11,0.94,0.94, Chicago,56222
P1867, Product868,bolts,88.78,2022,11,344,W9,S162,983,407,21,25540.77,Supplier_63,24,0.85,0.62,San Diego ,47212
P1161,Product162 ,bolts,16.05,2023,7,2180,W4,S173,104,234,20,38519.14,Supplier_74,6,0.88,0.31, Chicago,78107
P3059,Product2060 ,ENGINE PARTS,14.6,2022,1,217,W1,S100,566,463,15,24261.74,Supplier_1,18,0.93,0.44, Phoenix,69569
P2929, Product1930,ENGINE PARTS,479.7,2022,10,118,W9,S116,86,100,22,27938.57,Supplier_17,29,0.8,0.44,San Diego ,47212
P2382,Product1383 ,bolts,209.95,2023,4,258,W8,S192,793,386,18,12341.23,Supplier_93,16,0.89,0.75, Houston,20877
P1156, Product157,ENGINE PARTS,52.63,2023,9,257,W9,S163,459,266,27,48051.62,Supplier_64,6,0.9,0.63,San Diego ,47212
P3609, Product2610,brake pads,252.91,2022,12,459,W7,S171,242,371,27,19633.06,Supplier_72,27,0.81,0.23, Dallas,68292
P2066,Product1067 ,gears,453.1,2023,10,199,W3,S191,875,151,27,17001.48,Supplier_92,17,0.92,0.64,Philadelphia ,48714
P3458, Product2459,engine parts,55.68,2023,2,497,W6,S187,272,354,25,45653.03,Supplier_88,27,0.96,0.37,Los Angeles ,44647
P1486,Product487 ,ENGINE PARTS,72.64,2023,2,91,W9,S165,685,226,28,14535.66,Supplier_66,21,0.95,0.84,San Diego ,47212
P1688,Product689 ,brake pads,227.96,2022,4,469,W9,S161,645,98,19,22969.37,Supplier_62,12,0.92,0.11,San Diego ,47212
P2719, Product1720,bolts,323.5,2022,6,239,W2,S138,160,473,22,28473.18,Supplier_39,24,0.91,1.22, Dallas,37687
P2029, Product1030,bolts,392.37,2023,6,151,W9,S167,313,280,20,19466.47,Supplier_68,5,0.82,1.1,San Diego ,47212
P2638,Product1639 ,gears,203.09,2022,10,77,W3,S139,607,492,22,36555.59,Supplier_40,29,0.91,1.34,Philadelphia ,48714
P1161,Product162 ,bolts,16.05,2022,12,446,W4,S173,104,234,20,38519.14,Supplier_74,6,0.88,0.31, Chicago,78107
P1252,Product253 ,bolts,333.38,2022,10,321,W6,S115,362,255,10,18215.27,Supplier_16,19,0.94,1.02,Los Angeles ,44647
P3967,Product2968 ,GEARS,11.77,2023,4,408,W7,S159,656,292,17,38518.04,Supplier_60,13,0.96,1.38, Dallas,68292
P2471,Product1472 ,ENGINE PARTS,38.39,2023,8,162,W7,S120,726,468,17,37754.68,Supplier_21,28,0.89,1.24, Dallas,68292
P1814,Product815 ,BRAKE PADS,15.98,2022,11,3320,W10,S139,253,51,23,14932.52,Supplier_40,29,0.91,1.37, Chicago,56222
P1561, Product562,battery packs,99.46,2022,2,236,W2,S176,410,374,24,32211.85,Supplier_77,25,0.81,0.51, Dallas,37687
P1391,Product392 ,gears,222.88,2022,8,61,W8,S101,228,52,28,37271.92,Supplier_2,12,0.83,0.3, Houston,20877
P2135, Product1136,engine parts,75.72,2023,7,103,W5,S174,943,135,14,14708.9,Supplier_75,10,0.83,0.96, New York,43441
P3719,Product2720 ,GEARS,428.47,2023,4,362,W8,S104,31,405,23,33928.49,Supplier_5,15,0.82,1.03, Houston,20877
P1072,Product73 ,battery packs,193.11,2022,3,343,W2,S169,183,160,16,23214.87,Supplier_70,26,0.81,1.41, Dallas,37687
P2027, Product1028,ENGINE PARTS,413.6,2023,3,427,W7,S116,997,392,21,39829.94,Supplier_17,29,0.8,1.28, Dallas,68292
P1220, Product221,ENGINE PARTS,224.67,2023,10,84,W7,S112,863,133,8,4471.57,Supplier_13,27,0.88,0.26, Dallas,68292
P1513,Product514 ,GEARS,311.95,2023,9,112,W8,S180,742,397,10,34715.4,Supplier_81,8,0.88,0.26, Houston,20877
P2186,Product1187 ,BATTERY PACKS,90.82,2022,2,97,W8,S105,941,463,12,28108.4,Supplier_6,14,0.9,1.36, Houston,20877
P2149,Product1150 ,engine parts,84.14,2022,11,277,W8,S121,126,356,26,48665.13,Supplier_22,11,0.88,0.92, Houston,20877
P1989,Product990 ,bolts,40.47,2023,10,234,W1,S118,712,359,16,27421.3,Supplier_19,5,0.83,0.66, Phoenix,69569
P2118,Product1119 ,GEARS,310.58,2023,8,55,W5,S175,57,134,19,21128.47,Supplier_76,13,1,1.1, New York,43441
P1058,Product59 ,brake pads,111.27,2022,5,341,W6,S178,27,445,19,1361.95,Supplier_79,11,0.94,1.49,Los Angeles ,44647
P2488,Product1489 ,bolts,51.36,2022,5,342,W1,S112,294,450,5,46646.23,Supplier_13,27,0.88,1.17, Phoenix,69569
P2787,Product1788 ,GEARS,186.03,2023,10,407,W3,S108,727,236,18,16387.37,Supplier_9,13,0.89,0.57,Philadelphia ,48714
P1840, Product841,bolts,127.49,2023,3,226,W7,S199,661,316,7,25476.04,Supplier_100,29,0.8,1.05, Dallas,68292
P2477,Product1478 ,BOLTS,94.03,2023,10,89,W9,S171,215,334,13,5323.8,Supplier_72,27,0.81,0.95,San Diego ,47212
P1561, Product562,battery packs,99.46,2022,6,377,W7,S130,586,141,9,42756.22,Supplier_31,7,0.84,0.24, Dallas,68292
P2368,Product1369 ,BATTERY PACKS,150.34,2023,4,408,W6,S107,418,364,21,20081.29,Supplier_8,16,0.88,1.13,Los Angeles ,44647
P3765, Product2766,brake pads,121.4,2023,8,254,W4,S183,394,432,7,18049.16,Supplier_84,15,0.82,0.28, Chicago,78107
P3372,Product2373 ,battery packs,67.49,2022,7,72,W6,S114,969,313,22,4057.84,Supplier_15,28,0.81,1.3,Los Angeles ,44647
P1518, Product519,gears,293.08,2023,5,443,W5,S101,905,191,21,8862.03,Supplier_2,12,0.83,0.14, New York,43441
P2862, Product1863,brake pads,170.89,2022,11,361,W7,S170,811,330,28,1367.14,Supplier_71,23,0.97,0.23, Dallas,68292
P2071, Product1072,engine parts,264.49,2022,6,289,W1,S173,516,192,24,21972.28,Supplier_74,6,0.88,0.27, Phoenix,69569
P1467,Product468 ,GEARS,371.72,2022,9,339,W10,S190,439,356,14,40861.09,Supplier_91,22,0.98,0.65, Chicago,56222
P1037, Product38,BOLTS,447.35,2023,6,453,W9,S191,26,137,28,4890.42,Supplier_92,17,0.92,0.15,San Diego ,47212
P3601,Product2602 ,bolts,491.83,2023,4,96,W10,S155,994,318,20,33873.69,Supplier_56,13,0.91,0.71, Chicago,56222
P3015, Product2016,BRAKE PADS,172.55,2022,9,146,W2,S185,6,56,26,22238.98,Supplier_86,21,0.8,1.1, Dallas,37687
P2971, Product1972,BATTERY PACKS,118.25,2023,7,444,W4,S159,808,156,26,43709.99,Supplier_60,13,0.96,0.72, Chicago,78107
P2636,Product1637 ,GEARS,122.79,2022,7,379,W6,S160,931,268,5,23756.47,Supplier_61,22,0.83,0.84,Los Angeles ,44647
P2164,Product1165 ,BOLTS,294.5,2023,8,242,W9,S107,845,480,19,26904.21,Supplier_8,16,0.88,0.53,San Diego ,47212
P1724,Product725 ,bolts,438.77,2023,2,482,W1,S128,683,133,25,2364.02,Supplier_29,10,0.97,1.2, Phoenix,69569
P1796,Product797 ,ENGINE PARTS,315.02,2023,12,494,W8,S190,254,321,27,23133.05,Supplier_91,22,0.98,1.47, Houston,20877
P2378,Product1379 ,brake pads,282.87,2022,8,294,W5,S155,91,78,19,19328.34,Supplier_56,13,0.91,0.95, New York,43441
P3112, Product2113,GEARS,163.5,2023,8,195,W1,S110,197,382,8,35251.11,Supplier_11,7,0.9,0.86, Phoenix,69569
P3074,Product2075 ,ENGINE PARTS,63.67,2023,2,318,W4,S191,610,168,22,9432.91,Supplier_92,17,0.92,1.1, Chicago,78107
P2070, Product1071,BOLTS,360.47,2022,9,156,W6,S106,683,146,25,33221.63,Supplier_7,29,0.94,1.24,Los Angeles ,44647
P2187,Product1188 ,gears,388,2023,5,131,W1,S184,609,125,27,27693.86,Supplier_85,15,0.8,0.85, Phoenix,69569
P1121,Product122 ,ENGINE PARTS,391.12,2022,9,478,W3,S173,316,487,27,44617.14,Supplier_74,6,0.88,0.73,Philadelphia ,48714
P3063, Product2064,GEARS,84.37,2022,2,229,W9,S164,555,248,10,21153.26,Supplier_65,25,0.9,0.54,San Diego ,47212
P3924,Product2925 ,brake pads,497.46,2023,1,62,W1,S169,618,50,25,32480.69,Supplier_70,26,0.81,0.12, Phoenix,69569
P2087,Product1088 ,battery packs,188.5,2022,4,380,W2,S151,265,435,27,45415.03,Supplier_52,19,0.91,0.31, Dallas,37687
P2821, Product1822,battery packs,322.31,2023,6,301,W5,S188,461,398,20,45353.87,Supplier_89,20,0.95,0.16, New York,43441
P2537,Product1538 ,BOLTS,16.52,2022,6,382,W4,S142,328,348,9,5508.64,Supplier_43,8,0.85,0.68, Chicago,78107
P3987, Product2988,gears,21.58,2022,10,57,W10,S156,141,317,6,43432.44,Supplier_57,27,0.92,0.6, Chicago,56222
P2636,Product1637 ,GEARS,122.79,2023,4,296,W6,S160,931,268,5,23756.47,Supplier_61,22,0.83,0.84,Los Angeles ,44647
P2900,Product1901 ,engine parts,46.23,2022,5,175,W9,S108,645,97,7,4454.42,Supplier_9,13,0.89,0.13,San Diego ,47212
P1077, Product78,brake pads,138.33,2023,11,353,W9,S132,490,466,8,40594.3,Supplier_33,9,0.98,0.89,San Diego ,47212
P1614, Product615,battery packs,381.52,2022,5,277,W6,S164,288,165,14,2481.47,Supplier_65,25,0.9,0.28,Los Angeles ,44647
P3088, Product2089,bolts,375.65,2022,11,411,W4,S141,933,75,10,16849.14,Supplier_42,11,0.92,0.53, Chicago,78107
P1995, Product996,ENGINE PARTS,157.7,2022,9,484,W10,S136,700,186,29,1675.07,Supplier_37,23,0.94,1.43, Chicago,56222
P1448,Product449 ,BATTERY PACKS,420.36,2022,2,408,W8,S158,642,337,15,5025.73,Supplier_59,14,0.87,0.78, Houston,20877
P1012,Product13 ,engine parts,411.76,2023,8,229,W2,S191,332,498,13,16852.46,Supplier_92,17,0.92,0.16, Dallas,37687
P3829,Product2830 ,battery packs,251.7,2023,2,201,W5,S137,952,268,12,31128.9,Supplier_38,14,0.96,0.28, New York,43441
P1302,Product303 ,battery packs,330.14,2022,2,382,W8,S156,750,485,27,32100.48,Supplier_57,27,0.92,1.39, Houston,20877
P1291, Product292,battery packs,146.75,2022,1,145,W1,S178,984,74,12,25345.96,Supplier_79,11,0.94,0.31, Phoenix,69569
P2772, Product1773,BOLTS,300.34,2022,8,375,W6,S185,753,270,5,10199.42,Supplier_86,21,0.8,1.35,Los Angeles ,44647
P3438,Product2439 ,bolts,364.55,2022,3,73,W2,S185,296,53,10,20174.96,Supplier_86,21,0.8,1.22, Dallas,37687
P3509,Product2510 ,gears,422.6,2022,7,159,W4,S136,943,325,17,32101.24,Supplier_37,23,0.94,0.53, Chicago,78107
P3229,Product2230 ,bolts,81.29,2022,7,478,W8,S123,681,113,28,2078.45,Supplier_24,29,0.8,1.09, Houston,20877
P3308, Product2309,ENGINE PARTS,46.68,2022,12,324,W3,S133,638,275,21,24390.54,Supplier_34,13,0.85,0.68,Philadelphia ,48714
P2634,Product1635 ,BATTERY PACKS,211.83,2023,10,371,W10,S120,635,145,7,25138.08,Supplier_21,28,0.89,0.25, Chicago,56222
P1486,Product487 ,ENGINE PARTS,72.64,2022,8,495,W6,S172,638,227,12,38543.4,Supplier_73,29,1,0.91,Los Angeles ,44647
P3465,Product2466 ,BOLTS,176.82,2023,1,160,W6,S154,71,233,11,46439.6,Supplier_55,26,0.9,1.09,Los Angeles ,44647
P3669,Product2670 ,bolts,368.71,2022,3,307,W7,S190,172,395,17,4524.42,Supplier_91,22,0.98,1.04, Dallas,68292
P1067, Product68,bolts,452.26,2023,1,416,W8,S127,8370,241,5,8029.11,Supplier_28,5,0.86,1.28, Houston,20877
P2166,Product1167 ,engine parts,444.5,2023,2,78,W7,S138,408,284,16,39797.37,Supplier_39,24,0.91,0.15, Dallas,68292
P1760,Product761 ,GEARS,213.38,2022,10,378,W7,S179,682,117,22,21244.22,Supplier_80,11,0.92,0.19, Dallas,68292
